experiment_id,domain,operation,dtype,shape,threads,metric_name,metric_value,status
EXP-LAYOUT-NN,Transpose,GEMM_NN,f32,256x256,1,gflops,79.57,PASS
EXP-LAYOUT-NT,Transpose,GEMM_NT,f32,256x256,1,gflops,64.87,PASS
EXP-LAYOUT-TN,Transpose,GEMM_TN,f32,256x256,1,gflops,64.91,PASS
EXP-PACK-16,Packing,GEMM,f32,16x16,1,pack_overhead_pct,7.11,PACKING_WINS
EXP-PACK-32,Packing,GEMM,f32,32x32,1,pack_overhead_pct,5.12,PACKING_WINS
EXP-PACK-64,Packing,GEMM,f32,64x64,1,pack_overhead_pct,2.06,PACKING_WINS
EXP-PACK-128,Packing,GEMM,f32,128x128,1,pack_overhead_pct,1.19,DIRECT_WINS
EXP-PACK-256,Packing,GEMM,f32,256x256,1,pack_overhead_pct,0.49,DIRECT_WINS
EXP-PACK-512,Packing,GEMM,f32,512x512,1,pack_overhead_pct,0.45,DIRECT_WINS
EXP-SCALE-GEMM-T1,Threading,GEMM,f32,512x512,1,gflops,25.59,PASS
EXP-SCALE-GEMV-T1,Threading,GEMV,f32,4096x4096,1,bandwidth_gbps,37.67,PASS
EXP-SCALE-GEMM-T2,Threading,GEMM,f32,512x512,2,gflops,50.17,PASS
EXP-SCALE-GEMV-T2,Threading,GEMV,f32,4096x4096,2,bandwidth_gbps,66.19,PASS
EXP-SCALE-GEMM-T4,Threading,GEMM,f32,512x512,4,gflops,100.32,PASS
EXP-SCALE-GEMV-T4,Threading,GEMV,f32,4096x4096,4,bandwidth_gbps,75.06,PASS
EXP-SCALE-GEMM-T8,Threading,GEMM,f32,512x512,8,gflops,123.37,PASS
EXP-SCALE-GEMV-T8,Threading,GEMV,f32,4096x4096,8,bandwidth_gbps,89.24,PASS
EXP-SCALE-GEMM-T12,Threading,GEMM,f32,512x512,12,gflops,176.34,PASS
EXP-SCALE-GEMV-T12,Threading,GEMV,f32,4096x4096,12,bandwidth_gbps,96.95,PASS
EXP-SCALE-GEMM-T16,Threading,GEMM,f32,512x512,16,gflops,154.07,PASS
EXP-SCALE-GEMV-T16,Threading,GEMV,f32,4096x4096,16,bandwidth_gbps,83.29,PASS
EXP-SCALE-GEMM-T24,Threading,GEMM,f32,512x512,24,gflops,189.17,PASS
EXP-SCALE-GEMV-T24,Threading,GEMV,f32,4096x4096,24,bandwidth_gbps,68.80,PASS
