id,op,dtype,M,N,K,layout,stride,threads,provider,semantic,runtime_ns,gflops,bw_gbps,error,status
1,GEMM,f32,1,1,1,NN,1,1,SIMD_AVX2,reassoc,213.48,0.01,0.06,0.000000,COMPLETED
2,GEMM,f32,1,1,1,NN,1,1,Eigen3,strict,15.01,0.13,0.80,0.000000,COMPLETED
3,GEMM,f32,1,1,1,NN,1,4,SIMD_AVX2,reassoc,328.19,0.01,0.04,0.000000,COMPLETED
4,GEMM,f32,1,1,1,NN,1,4,Eigen3,strict,8.89,0.22,1.35,0.000000,COMPLETED
5,GEMM,f32,1,1,1,NN,1,12,SIMD_AVX2,reassoc,1186.75,0.00,0.01,0.000000,COMPLETED
6,GEMM,f32,1,1,1,NN,1,12,Eigen3,strict,14.60,0.14,0.82,0.000000,COMPLETED
7,GEMM,f32,1,1,1,NN,1,24,SIMD_AVX2,reassoc,2290.52,0.00,0.01,0.000000,COMPLETED
8,GEMM,f32,1,1,1,NN,1,24,Eigen3,strict,21.53,0.09,0.56,0.000000,COMPLETED
9,GEMM,f32,1,1,1,NT,1,1,SIMD_AVX2,reassoc,184.71,0.01,0.06,0.000000,COMPLETED
10,GEMM,f32,1,1,1,NT,1,4,SIMD_AVX2,reassoc,1118.89,0.00,0.01,0.000000,COMPLETED
11,GEMM,f32,1,1,1,NT,1,12,SIMD_AVX2,reassoc,1630.19,0.00,0.01,0.000000,COMPLETED
12,GEMM,f32,1,1,1,NT,1,24,SIMD_AVX2,reassoc,2322.84,0.00,0.01,0.000000,COMPLETED
13,GEMM,f32,1,1,1,TN,1,1,SIMD_AVX2,reassoc,179.52,0.01,0.07,0.000000,COMPLETED
14,GEMM,f32,1,1,1,TN,1,4,SIMD_AVX2,reassoc,1230.25,0.00,0.01,0.000000,COMPLETED
15,GEMM,f32,1,1,1,TN,1,12,SIMD_AVX2,reassoc,5715.84,0.00,0.00,0.000000,COMPLETED
16,GEMM,f32,1,1,1,TN,1,24,SIMD_AVX2,reassoc,6846.60,0.00,0.00,0.000000,COMPLETED
17,GEMM,f32,1,1,1,TT,1,1,SIMD_AVX2,reassoc,112.58,0.02,0.11,0.000000,COMPLETED
18,GEMM,f32,1,1,1,TT,1,4,SIMD_AVX2,reassoc,1042.68,0.00,0.01,0.000000,COMPLETED
19,GEMM,f32,1,1,1,TT,1,12,SIMD_AVX2,reassoc,3817.57,0.00,0.00,0.000000,COMPLETED
20,GEMM,f32,1,1,1,TT,1,24,SIMD_AVX2,reassoc,13879.95,0.00,0.00,0.000000,COMPLETED
21,GEMM,f32,2,2,2,NN,1,1,SIMD_AVX2,reassoc,120.59,0.13,0.40,0.000000,COMPLETED
22,GEMM,f32,2,2,2,NN,1,1,Eigen3,strict,21.94,0.73,2.19,0.000000,COMPLETED
23,GEMM,f32,2,2,2,NN,1,4,SIMD_AVX2,reassoc,1576.61,0.01,0.03,0.000000,COMPLETED
24,GEMM,f32,2,2,2,NN,1,4,Eigen3,strict,22.15,0.72,2.17,0.000000,COMPLETED
25,GEMM,f32,2,2,2,NN,1,12,SIMD_AVX2,reassoc,4393.51,0.00,0.01,0.000000,COMPLETED
26,GEMM,f32,2,2,2,NN,1,12,Eigen3,strict,34.59,0.46,1.39,0.000000,COMPLETED
27,GEMM,f32,2,2,2,NN,1,24,SIMD_AVX2,reassoc,6452.37,0.00,0.01,0.000000,COMPLETED
28,GEMM,f32,2,2,2,NN,1,24,Eigen3,strict,22.45,0.71,2.14,0.000000,COMPLETED
29,GEMM,f32,2,2,2,NT,1,1,SIMD_AVX2,reassoc,125.79,0.13,0.38,0.000000,COMPLETED
30,GEMM,f32,2,2,2,NT,1,4,SIMD_AVX2,reassoc,1085.28,0.01,0.04,0.000000,COMPLETED
31,GEMM,f32,2,2,2,NT,1,12,SIMD_AVX2,reassoc,4859.61,0.00,0.01,0.000000,COMPLETED
32,GEMM,f32,2,2,2,NT,1,24,SIMD_AVX2,reassoc,3963.59,0.00,0.01,0.000000,COMPLETED
33,GEMM,f32,2,2,2,TN,1,1,SIMD_AVX2,reassoc,187.84,0.09,0.26,0.000000,COMPLETED
34,GEMM,f32,2,2,2,TN,1,4,SIMD_AVX2,reassoc,872.41,0.02,0.06,0.000000,COMPLETED
35,GEMM,f32,2,2,2,TN,1,12,SIMD_AVX2,reassoc,2493.71,0.01,0.02,0.000000,COMPLETED
36,GEMM,f32,2,2,2,TN,1,24,SIMD_AVX2,reassoc,2289.70,0.01,0.02,0.000000,COMPLETED
37,GEMM,f32,2,2,2,TT,1,1,SIMD_AVX2,reassoc,192.07,0.08,0.25,0.000000,COMPLETED
38,GEMM,f32,2,2,2,TT,1,4,SIMD_AVX2,reassoc,1116.79,0.01,0.04,0.000000,COMPLETED
39,GEMM,f32,2,2,2,TT,1,12,SIMD_AVX2,reassoc,1709.24,0.01,0.03,0.000000,COMPLETED
40,GEMM,f32,2,2,2,TT,1,24,SIMD_AVX2,reassoc,2098.24,0.01,0.02,0.000000,COMPLETED
41,GEMM,f32,4,4,4,NN,1,1,SIMD_AVX2,reassoc,264.91,0.48,0.72,0.000000,COMPLETED
42,GEMM,f32,4,4,4,NN,1,1,Eigen3,strict,34.46,3.71,5.57,0.000000,COMPLETED
43,GEMM,f32,4,4,4,NN,1,4,SIMD_AVX2,reassoc,738.31,0.17,0.26,0.000000,COMPLETED
44,GEMM,f32,4,4,4,NN,1,4,Eigen3,strict,34.58,3.70,5.55,0.000000,COMPLETED
45,GEMM,f32,4,4,4,NN,1,12,SIMD_AVX2,reassoc,2283.01,0.06,0.08,0.000000,COMPLETED
46,GEMM,f32,4,4,4,NN,1,12,Eigen3,strict,35.71,3.58,5.38,0.000000,COMPLETED
47,GEMM,f32,4,4,4,NN,1,24,SIMD_AVX2,reassoc,2260.03,0.06,0.08,0.000000,COMPLETED
48,GEMM,f32,4,4,4,NN,1,24,Eigen3,strict,36.38,3.52,5.28,0.000000,COMPLETED
49,GEMM,f32,4,4,4,NT,1,1,SIMD_AVX2,reassoc,292.13,0.44,0.66,0.000000,COMPLETED
50,GEMM,f32,4,4,4,NT,1,4,SIMD_AVX2,reassoc,727.22,0.18,0.26,0.000000,COMPLETED
51,GEMM,f32,4,4,4,NT,1,12,SIMD_AVX2,reassoc,2459.69,0.05,0.08,0.000000,COMPLETED
52,GEMM,f32,4,4,4,NT,1,24,SIMD_AVX2,reassoc,3190.97,0.04,0.06,0.000000,COMPLETED
53,GEMM,f32,4,4,4,TN,1,1,SIMD_AVX2,reassoc,274.91,0.47,0.70,0.000000,COMPLETED
54,GEMM,f32,4,4,4,TN,1,4,SIMD_AVX2,reassoc,1248.13,0.10,0.15,0.000000,COMPLETED
55,GEMM,f32,4,4,4,TN,1,12,SIMD_AVX2,reassoc,1970.35,0.06,0.10,0.000000,COMPLETED
56,GEMM,f32,4,4,4,TN,1,24,SIMD_AVX2,reassoc,2197.36,0.06,0.09,0.000000,COMPLETED
57,GEMM,f32,4,4,4,TT,1,1,SIMD_AVX2,reassoc,289.08,0.44,0.66,0.000000,COMPLETED
58,GEMM,f32,4,4,4,TT,1,4,SIMD_AVX2,reassoc,1337.59,0.10,0.14,0.000000,COMPLETED
59,GEMM,f32,4,4,4,TT,1,12,SIMD_AVX2,reassoc,1670.27,0.08,0.11,0.000000,COMPLETED
60,GEMM,f32,4,4,4,TT,1,24,SIMD_AVX2,reassoc,2182.29,0.06,0.09,0.000000,COMPLETED
61,GEMM,f32,8,8,8,NN,1,1,SIMD_AVX2,reassoc,314.77,3.25,2.44,0.000000,COMPLETED
62,GEMM,f32,8,8,8,NN,1,1,Eigen3,strict,88.53,11.57,8.68,0.000000,COMPLETED
63,GEMM,f32,8,8,8,NN,1,4,SIMD_AVX2,reassoc,1271.05,0.81,0.60,0.000000,COMPLETED
64,GEMM,f32,8,8,8,NN,1,4,Eigen3,strict,86.50,11.84,8.88,0.000000,COMPLETED
65,GEMM,f32,8,8,8,NN,1,12,SIMD_AVX2,reassoc,1867.16,0.55,0.41,0.000000,COMPLETED
66,GEMM,f32,8,8,8,NN,1,12,Eigen3,strict,133.43,7.67,5.76,0.000000,COMPLETED
67,GEMM,f32,8,8,8,NN,1,24,SIMD_AVX2,reassoc,2217.49,0.46,0.35,0.000000,COMPLETED
68,GEMM,f32,8,8,8,NN,1,24,Eigen3,strict,134.03,7.64,5.73,0.000000,COMPLETED
69,GEMM,f32,8,8,8,NT,1,1,SIMD_AVX2,reassoc,987.00,1.04,0.78,0.000000,COMPLETED
70,GEMM,f32,8,8,8,NT,1,4,SIMD_AVX2,reassoc,1185.83,0.86,0.65,0.000000,COMPLETED
71,GEMM,f32,8,8,8,NT,1,12,SIMD_AVX2,reassoc,1965.90,0.52,0.39,0.000000,COMPLETED
72,GEMM,f32,8,8,8,NT,1,24,SIMD_AVX2,reassoc,2691.99,0.38,0.29,0.000000,COMPLETED
73,GEMM,f32,8,8,8,TN,1,1,SIMD_AVX2,reassoc,465.47,2.20,1.65,0.000000,COMPLETED
74,GEMM,f32,8,8,8,TN,1,4,SIMD_AVX2,reassoc,755.31,1.36,1.02,0.000000,COMPLETED
75,GEMM,f32,8,8,8,TN,1,12,SIMD_AVX2,reassoc,1771.32,0.58,0.43,0.000000,COMPLETED
76,GEMM,f32,8,8,8,TN,1,24,SIMD_AVX2,reassoc,2435.10,0.42,0.32,0.000000,COMPLETED
77,GEMM,f32,8,8,8,TT,1,1,SIMD_AVX2,reassoc,1023.70,1.00,0.75,0.000000,COMPLETED
78,GEMM,f32,8,8,8,TT,1,4,SIMD_AVX2,reassoc,795.48,1.29,0.97,0.000000,COMPLETED
79,GEMM,f32,8,8,8,TT,1,12,SIMD_AVX2,reassoc,1878.68,0.55,0.41,0.000000,COMPLETED
80,GEMM,f32,8,8,8,TT,1,24,SIMD_AVX2,reassoc,2389.43,0.43,0.32,0.000000,COMPLETED
81,GEMM,f32,16,16,16,NN,1,1,SIMD_AVX2,reassoc,1372.90,5.97,2.24,0.000000,COMPLETED
82,GEMM,f32,16,16,16,NN,1,1,Eigen3,strict,273.74,29.93,11.22,0.000000,COMPLETED
