semantic_factor,operation,shape,variant,median_ns,gflops,status
NoAlias,GEMM,64x64,noalias_restrict,12596.75,41.62,PASS
NoAlias,GEMM,64x64,aliased_dynamic,12745.25,41.14,PASS
NoAlias,GEMM,128x128,noalias_restrict,75561.40,55.51,PASS
NoAlias,GEMM,128x128,aliased_dynamic,76064.80,55.14,PASS
NoAlias,GEMM,256x256,noalias_restrict,489306.00,68.58,PASS
NoAlias,GEMM,256x256,aliased_dynamic,489704.00,68.52,PASS
Alignment,GEMM,64x64,aligned_32B,12797.85,40.97,PASS
Alignment,GEMM,64x64,unaligned_loadu,12622.90,41.53,PASS
Alignment,GEMM,128x128,aligned_32B,73854.00,56.79,PASS
Alignment,GEMM,128x128,unaligned_loadu,73900.00,56.76,PASS
Alignment,GEMM,256x256,aligned_32B,434742.00,77.18,PASS
Alignment,GEMM,256x256,unaligned_loadu,439394.00,76.37,PASS
StaticShape,GEMM,4x4,static_template,2.51,51.06,PASS
StaticShape,GEMM,4x4,dynamic_loop,15.14,8.45,PASS
StaticShape,GEMM,8x8,static_template,12.70,80.60,PASS
StaticShape,GEMM,8x8,dynamic_loop,91.02,11.25,PASS
StaticShape,GEMM,16x16,static_template,88.85,92.20,PASS
StaticShape,GEMM,16x16,dynamic_loop,506.13,16.19,PASS
Stride,Dot,16384,stride_1_contiguous,12685.48,10.33,PASS
Stride,Dot,16384,stride_2_strided,12705.13,10.32,PASS
Stride,Dot,16384,stride_4_strided,12702.45,10.32,PASS
